label,f1_random,f1_chrono
neighbor-copy(train),0.55254877281309,0.5839793281653747
persistence(오늘=내일),0.5701754385964912,0.6434494195688225
랜덤포레스트(튜닝),0.573108,0.6081170991350632
XGBoost(튜닝),0.593015,0.6321177223288548
