model,kind,rmse,mae,r2
랜덤포레스트(튜닝),tuned,0.6682016283232064,0.2377736482579954,0.1463965945178408
XGBoost(튜닝),tuned,0.669344663243294,0.2357534552613667,0.1434737251902778
선형회귀,model,0.6861111802856726,0.2709762119824774,0.1000257733170996
랜덤포레스트,model,0.6866551957837415,0.2537468497471119,0.0985980337833077
평균값(기준선),baseline,0.723362232229201,0.282215398689075,-0.0003517577208571
XGBoost,model,0.7304630153066372,0.277395658688467,-0.0200877756954072
persistence(기준선),baseline,0.8945710797721081,0.2544337569687913,-0.529927276842902
