feature,importance
dew,0.12870416
precip,0.124297686
feelslike,0.081857726
cloudcover,0.07865213
winddir,0.061510168
temp,0.060116924
precipcover,0.05993282
sealevelpressure,0.05737872
visibility,0.05034903
moonphase,0.0486741
windspeed,0.04816171
tempmin,0.04805262
feelslikemax,0.04129818
humidity,0.036137514
tempmax,0.032929763
snow,0.017073032
snowdepth,0.0155736
feelslikemin,0.009300193
precipprob,0.0
