model,kind,accuracy,precision,recall,f1
XGBoost(튜닝),tuned,0.739507299270073,0.6842105263157895,0.5232704402515723,0.5930149679258732
XGBoost,model,0.7276459854014599,0.6523076923076923,0.5333333333333333,0.5868512110726644
랜덤포레스트(튜닝),tuned,0.7349452554744526,0.6890459363957597,0.490566037735849,0.5731080088170463
persistence(기준선),baseline,0.6870437956204379,0.568039950062422,0.5723270440251572,0.5701754385964912
랜덤포레스트,model,0.7312956204379562,0.6819787985865724,0.4855345911949685,0.5672299779573843
로지스틱회귀,model,0.7262773722627737,0.6678141135972461,0.4880503144654088,0.563953488372093
다수 클래스(기준선),baseline,0.6373175182481752,0.0,0.0,0.0
