방식,rmse,mae,medae,r2
"기대 강수량(결합, 조건부 XGB)",0.6652183884916691,0.2328059011297733,0.0730605354607105,0.1540015419971075
랜덤포레스트(튜닝),0.6682016283232064,0.2377736482579954,0.0669642309149476,0.1463965945178408
XGBoost(튜닝),0.669344663243294,0.2357534552613667,0.0801614113152027,0.1434737251902778
Tweedie(power=1.9),0.6841835045976262,0.2254344777568637,0.08981369399030414,0.10507574593222302
선형회귀,0.686111,0.270976,,0.100026
랜덤포레스트,0.686655,0.253747,,0.098598
Tweedie(power=1.5),0.6883208386066628,0.23571929753375878,0.10438886414875218,0.09421960705635468
Tweedie(power=1.1),0.6926999019261296,0.2524441824212478,0.13116339696316187,0.08265788550558373
XGBoost,0.730463,0.277396,,-0.020088
