model,best_params,cv_best_r2,train_r2,test_rmse,test_mae,test_r2
RandomForestRegressor,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 200}",0.1515565557195325,0.5717409018465958,0.6682016283232064,0.23777364825799543,0.14639659451784082
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.15754418849048576,0.3589421936336591,0.669344663243294,0.23575345526136673,0.1434737251902778
