label,r2_random,r2_chrono
neighbor-copy(train),-0.52040068078022,-0.05049117452019969
persistence(오늘=내일),-0.529927276842902,-0.5244481020617349
랜덤포레스트(튜닝),0.146397,0.1433522503210023
XGBoost(튜닝),0.143474,0.1496620484429152
